Bank Name,Account Name,Account Number,SWIFT Code,Currency,Bank Address,Beneficiary Address
Santander Bank,Iberian Oil Traders,ES12 1234 5678 9012 3456 78,BSCHESMM,EUR,Paseo de la Castellana Madrid,Azca Financial District
Royal Bank Canada,Canadian Crude Export,CA12 1234 5678 9012 3456 78,ROYCCAT2,CAD,200 Bay Street Toronto,Royal Bank Plaza Toronto
Westpac Banking,Australia Gas Export,AU12 1234 5678 9012 3456 78,WPACAU2S,AUD,275 Kent Street Sydney,Sydney CBD
Bank of China,China Energy Import,CN12 1234 5678 9012 3456 78,BKCHCNBJ,CNY,1 Fuxingmen Nei Dajie Beijing,Financial Street Beijing
MUFG Bank Japan,Japan Oil Trading,JP12 1234 5678 9012 3456 78,BOTKJPJT,JPY,7-1 Marunouchi Tokyo,Marunouchi District Tokyo
Credit Suisse,Zurich Commodity Trade,CH12 1234 5678 9012 3456 78,CRESCHZZ,CHF,Paradeplatz 8 Zurich,Paradeplatz Zurich
DNB Bank Norway,Norwegian Sea Oil,NO12 1234 5678 9012 3456 78,DNBANOKK,NOK,Kirkegata 21 Oslo,Oslo Business District
SEB Bank Sweden,Scandinavian Energy,SE12 1234 5678 9012 3456 78,ESSESESS,SEK,Kungsträdgårdsgatan 8 Stockholm,Norrmalm Stockholm
UniCredit Bank Italy,Mediterranean Gas,IT12 1234 5678 9012 3456 78,UNCRITMM,EUR,Piazza Cordusio Milan,Gae Aulenti Square Milan
Bank of America,US Energy Export,US12 1234 5678 9012 3456 78,BOFAUS3N,USD,100 North Tryon Charlotte,Bank of America Plaza
JPMorgan Chase,Global Energy Partners,US12 1234 5678 9012 3456 78,CHASUS33,USD,383 Madison Avenue NY,Manhattan New York
Wells Fargo Bank,Western Oil Traders,US12 1234 5678 9012 3456 78,WFBIUS6S,USD,420 Montgomery Street SF,San Francisco California
Morgan Stanley,Energy Investment Fund,US12 1234 5678 9012 3456 78,MSNYUS33,USD,1585 Broadway NY,Manhattan New York
Goldman Sachs,Commodity Trading Desk,US12 1234 5678 9012 3456 78,GOSCUS33,USD,200 West Street NY,Manhattan New York
Mizuho Bank Japan,Japan LNG Import,JP12 1234 5678 9012 3456 78,MHCBJPJT,JPY,1-2-1 Yurakucho Tokyo,Marunouchi Tokyo
Sumitomo Mitsui,Japanese Energy Corp,JP12 1234 5678 9012 3456 78,SMBCJPJT,JPY,1-1-2 Marunouchi Tokyo,Tokyo Station Area
Rabobank Netherlands,Dutch Agri Energy,NL12 1234 5678 9012 3456 78,RABONL2U,EUR,Croeselaan 18 Utrecht,Utrecht Central
KBC Bank Belgium,Benelux Energy Trading,BE12 1234 5678 9012 3456 78,KREDBEBB,EUR,Havenlaan 2 Brussels,Brussels Business District
National Bank Kuwait,Kuwait Petroleum Co.,KW12 1234 5678 9012 3456 78 90,NBOKKWKW,KWD,Abdullah Al-Ahmed Street Kuwait City,Kuwait City Center
Samba Financial,Saudi Industrial Gas,SA12 1234 5678 9012 3456 78,SAMBSARI,SAR,King Fahad Road Riyadh,Olaya District Riyadh
Emirates NBD,Dubai Natural Gas,AE12 1234 5678 9012 3456 78,EBILAEAD,AED,Al Ittihad Road Dubai,Deira Dubai
QNB Group,Qatar Natural Gas,QA12 1234 5678 9012 3456 78 90,QNBAQAQA,QAR,QNB Tower Doha,West Bay Doha
National Bank UAE,Abu Dhabi Energy,AE12 1234 5678 9012 3456 78,NBUAAEAD,AED,Khalifa Street Abu Dhabi,Abu Dhabi Center
